公司名字:珠海保税区美加生物医药科技有限公司, 法人:郑巍, 地址:珠海市宝湾路1号厂房A-109房
公司名字:艾因特丽（苏州）生物科技有限公司, 法人:屈泽莲, 地址:太仓市浮桥镇申江路88号
公司名字:蔻诗曼嘉化妆品（苏州）有限公司, 法人:朴善基, 地址:苏州吴中经济开发区南湖路71号
公司名字:广州科元化妆品有限公司, 法人:胡维斌, 地址:广州市从化区城郊街横江路339号-13（厂房B）第四层
公司名字:广州市广膜化妆品有限公司, 法人:王美燕, 地址:广州市黄埔区观达路7号自编四栋五层-2
公司名字:广州市白云区伊贝诗精细化妆品厂, 法人:方明超, 地址:广州市白云区太和镇夏良东路 13 号（自主申报）
公司名字:广州煜明生物科技有限公司, 法人:周永晟, 地址:广州市番禺区石壁街创源路22号厂房B201
公司名字:新疆奇沐医药研究院（有限公司）, 法人:季志红, 地址:.新疆乌鲁木齐市高新区（新市区）北区银藤街1375号
公司名字:广西鹤兰墨广泽生物科技有限公司, 法人:黄曼丽, 地址:南宁市邕宁区铺蒲庙镇广信路5号中盟产业园A02栋一层厂房
公司名字:广州东耀化妆品有限公司, 法人:张福佳, 地址:广州市从化区明珠工业园利建二路2号厂房二层、三层
公司名字:广州博克莱化妆品有限公司, 法人:颜洁兰, 地址:广州市从化区城郊街城郊美都路123号（厂房A）之自编A3栋
公司名字:广东美颂化妆品制造有限公司, 法人:王丽华, 地址:广州市白云区白云湖街大朗村货场中路11号D栋
公司名字:汕头市薇尼卡生物科技有限公司, 法人:唐少美, 地址:广东省汕头市潮南区峡山街道东山居委广汕公路南第四层
公司名字:广州合众无纺化妆品有限公司, 法人:肖军, 地址:广州市白云区均禾街石马村夏花二路自编12号金马工业园A栋三楼
公司名字:广州汉雅化妆品有限公司, 法人:梁赏, 地址:广州市白云区钟落潭镇金盆北路2号
公司名字:广州市聚生缘化妆品有限公司, 法人:秦丽, 地址:广州市白云区人和镇东华工业区华盛南路88号
公司名字:广州旭科化妆品有限公司, 法人:李涛, 地址:广州市白云区钟落潭镇广从九路951号501
公司名字:广州滢秀生物科技有限公司, 法人:陈增明, 地址:广州市白云区白云湖街大朗北路121号四楼
公司名字:亚宝药业贵阳制药有限公司, 法人:郭创生, 地址:贵州省贵阳市修文县扎佐医药工业园区B区磨秧坡
公司名字:广东金山百草健康产业有限公司, 法人:张炜程, 地址:开平市翠山湖新区环翠西路2号2座二楼3卡
公司名字:广东艾琳化妆品有限公司, 法人:胡军辉, 地址:鹤山市古劳镇麦水工业区7号
公司名字:赤峰福纳康生物技术有限公司, 法人:赵新征, 地址:内蒙古自治区赤峰市红山经济开发区万泽大道9号
公司名字:贵州乔盛生物科技有限公司, 法人:王荣生, 地址:贵州省黔东南苗族侗族自治州从江县贯洞镇（洛贯经济开发区贯洞村）
公司名字:江西真美生物科技有限公司, 法人:黄文蒋, 地址:江西省抚州市东乡区大富岗开发区28号
公司名字:广东全力医药科技有限公司, 法人:黄俊豪, 地址:广东省广州市花都区金田路3号
公司名字:汕头市采淇日化有限公司, 法人:林灿坚, 地址:汕头市潮南区司马浦镇仙港新元新村东西楼三街12号
公司名字:广州市众德生物科技有限公司, 法人:彭玲, 地址:广州市番禺区石基镇新凌路桥山村段6号之1二号楼3楼
公司名字:广东荣菲生物科技有限公司, 法人:吴世辉, 地址:中山市三乡镇古鹤村鹤前北路32号A栋第四层
公司名字:广州市卡妮尔化妆品有限公司, 法人:郑文贤, 地址:广州市白云区钟落潭镇金盆安乐路7号2栋101房
公司名字:珠海安和生化科技有限公司, 法人:柳云飞, 地址:珠海市三灶科技工业园安和园
公司名字:广州悠芙莎生物科技有限公司, 法人:孙丽清, 地址:广州市白云区均禾街罗岗村十社环村北路自编81号二楼
公司名字:广东十长生化妆品制造有限公司, 法人:李勇, 地址:清远市高新区科技工业园8号区1号
公司名字:南京乐韬生物科技有限公司, 法人:张昊宁, 地址:南京经济技术开发区兴和路5号4号楼04-202室
公司名字:天晴干细胞股份有限公司, 法人:刘艳青, 地址:哈尔滨高新技术产业开发区科技创新城巨宝二路199号
公司名字:哈尔滨艾松生物科技有限公司乌马河分公司, 法人:王杨, 地址:黑龙江省伊春市乌马河区青山大街北侧（伊春汇源国际会展有限公司）
公司名字:共聚生化科技（昆山）有限公司, 法人:黄卫勋, 地址:江苏省昆山综合保税区B区中央大道8号
公司名字:莹特丽科技（苏州工业园区）有限公司第一分公司, 法人:王邑华, 地址:苏州工业园区华凌路8号
公司名字:莹特丽科技（苏州工业园区）有限公司, 法人:王邑华, 地址:苏州工业园区华虹街29号2号厂房
公司名字:鞍山市荟丰农产品开发有限公司, 法人:张权, 地址:海城市腾鳌镇接官村
公司名字:君丽（广东）生物科技有限公司, 法人:周梨, 地址:佛山市三水区乐平镇齐力大道南15号6座(住所申报)
公司名字:宝丽（广东）生物科技有限公司, 法人:杜兆旭, 地址:佛山市三水区乐平镇丰业大道东7号4座（住所申报）
公司名字:广州保得利药业有限公司, 法人:黄泽钦, 地址:广州市白云区嘉禾街新石路901号C栋4楼（自主申报）
公司名字:广州卿恺生物科技有限公司, 法人:张战红, 地址:广州市白云区白云湖街夏茅商业大街一横15号A栋二楼（自主申报）
