店名: 天津世纪都会餐厅, 地址: 南京路181.183号世纪都会商厦，第一层132号及第负一层B132a号, 省市: 天津市, 天津市
店名: 天津亨顺广场餐厅, 地址: 北辰区双口镇津永公路北侧立业园1-1，2，3，4-105-106-1, 省市: 天津市, 天津市
店名: 天津侯台餐厅, 地址: 中北镇侯台村侯台休闲购物广场一层铺位号：16, 省市: 天津市, 天津市
店名: 津南大学城(卢浮广场底商), 地址: 咸水沽镇雅润路与津沽公路交口雅晟广场2号楼底商1、底商2铺位, 省市: 天津市, 天津市
店名: 和平华夏未来餐厅, 地址: 南马路15号17及荣业大街1号华夏未来城市广场一层铺位号：1009-101, 省市: 天津市, 天津市
店名: 天津亨顺广场甜品站, 地址: 双口镇津永公路北侧立业园600-5号, 省市: 天津市, 天津市
店名: 大连东道甜品989, 地址: 层南区演艺中心对面环廊处多经点位天津自贸试验区（中心商务区）旭升路347号滨海文化中心（一期）文化长廊二, 省市: 天津市, 天津市
店名: 天津鞍山西道餐厅, 地址: 鞍山西道（212-230）双号_01__号一层, 省市: 天津市, 天津市
店名: 中冶和悦汇餐厅, 地址: 黑牛城道与内江北路交口西北侧七贤南里109号底商201a, 省市: 天津市, 天津市
店名: 熙悦购物中心甜品, 地址: 黄河道与密云路交口熙悦汇购物中心, 省市: 天津市, 天津市
店名: 天一绿海购物中心餐厅, 地址: 蓟县东环路北端东侧揽秀园55-101一层, 省市: 天津市, 天津市
店名: 塘沽永旺甜品, 地址: 时尚东路29号600区永旺梦乐城天津泰达购物中心2层铺位号264b, 省市: 天津市, 天津市
店名: 天津团泊奥莱餐厅, 地址: 静海县团泊大道8号A1楼一层和二层, 省市: 天津市, 天津市
店名: 丁字沽物美餐厅, 地址: 红桥区丁字沽三号路南侧、风尚公寓西侧物美生活广场一层(铺位号：1468-F1-A008, 省市: 天津市, 天津市
店名: 海信甜品, 地址: 解放路188号信达广场裙楼3F336号, 省市: 天津市, 天津市
店名: 凯德国贸餐厅, 地址: 南京路39号天津国际贸易中心—商场01层14室, 省市: 天津市, 天津市
店名: 万科广东路餐厅, 地址: 广东路60号1F-21号商铺, 省市: 天津市, 天津市
店名: 新佛罗伦萨餐厅, 地址: 前进道翠亨路交口，佛罗伦萨小镇FOOD1&FOOD2单元, 省市: 天津市, 天津市
店名: 友阿奥特莱斯餐厅, 地址: 云山道以南、西中环以东友阿奥特莱斯内04118和04119, 省市: 天津市, 天津市
店名: 美华时代购物广场, 地址: 一层蓟县光大商务中心兴华大街102号、兴华大街中段北侧--兴华大街104号房屋, 省市: 天津市, 天津市
