店名: 钦州, 地址: 桂林路39号, 省市: 上海市, 上海市
店名: 联富, 地址: 河南北路99号联富商场二楼, 省市: 上海市, 上海市
店名: 巨峰, 地址: 巨峰路239号, 省市: 上海市, 上海市
店名: 华徐, 地址: 徐泾镇沪青平公路1829号家乐福, 省市: 上海市, 上海市
店名: 新桥, 地址: 新桥镇新南街377号, 省市: 上海市, 上海市
店名: 泓鑫, 地址: 天山路762号泓鑫时尚广场1F, 省市: 上海市, 上海市
店名: 武定, 地址: 西康路400号一楼A铺, 省市: 上海市, 上海市
店名: 天宝, 地址: 新港路229-245号1楼11号, 省市: 上海市, 上海市
店名: 金湘, 地址: 新金桥路1088号A幢1、2层, 省市: 上海市, 上海市
店名: 益丰, 地址: 高科中路2860号, 省市: 上海市, 上海市
店名: 豫安阁, 地址: 方浜中路245号地下一层, 省市: 上海市, 上海市
店名: 刘行, 地址: 菊盛路912—916号, 省市: 上海市, 上海市
店名: 虹桥连廊, 地址: 虹桥火车站与虹桥机场连廊精选餐厅, 省市: 上海市, 上海市
店名: 永盛, 地址: 宝安公路3718号2幢1层, 省市: 上海市, 上海市
店名: 东方, 地址: 东方路1688号103室、202室, 省市: 上海市, 上海市
店名: 绅富, 地址: 公园东路1289弄123、124号, 省市: 上海市, 上海市
店名: 松江万达, 地址: 广富林路658弄松江万达广场2002号商铺, 省市: 上海市, 上海市
店名: 江镇, 地址: 上海浦东新区机场镇晨阳路196号, 省市: 上海市, 上海市
店名: 金海, 地址: 金海路2493号宝龙广场肯德基, 省市: 上海市, 上海市
店名: 陈行, 地址: 浦江镇陈行公路2688号, 省市: 上海市, 上海市
店名: 江川, 地址: 泗泾镇江川北路263、265号, 省市: 上海市, 上海市
店名: 张江, 地址: 张江路625号一层B座, 省市: 上海市, 上海市
店名: 新美罗, 地址: 肇嘉浜路1111号, 省市: 上海市, 上海市
店名: 祝桥, 地址: 祝桥镇百熙路368弄13号, 省市: 上海市, 上海市
店名: 新江桥, 地址: 虞姬墩路506号一、二层，101、102、103、201, 省市: 上海市, 上海市
店名: 罗山, 地址: 博山东路50号, 省市: 上海市, 上海市
店名: 罗, 地址: 月罗路2380号, 省市: 上海市, 上海市
店名: 九亭站, 地址: 沪松公路1501号商场一层轨道交通九亭站, 省市: 上海市, 上海市
店名: 新南广, 地址: 秣陵路303号上海火车站东南出口东侧一层, 省市: 上海市, 上海市
店名: 施湾, 地址: 祝桥新镇施新路802弄1号, 省市: 上海市, 上海市
店名: 吾盈, 地址: 青浦区盈浦街道淀山湖大道152弄58号-1室、淀山湖大道218号2F-024, 省市: 上海市, 上海市
店名: 金科, 地址: 金科路3057号SHzj-1014, 省市: 上海市, 上海市
店名: 世博源, 地址: 世博大道1368号世博源3区B层, 省市: 上海市, 上海市
店名: 佘山, 地址: 佘山镇桃源路190号2层，192、194号1-2层, 省市: 上海市, 上海市
店名: 高铁北精选, 地址: 铁路上海虹桥站出发层商铺号：3F-A3-1, 省市: 上海市, 上海市
店名: 高铁精选3, 地址: 虹桥火车站到达层B1层-北13-14号高铁精选三餐厅, 省市: 上海市, 上海市
店名: 瞿溪, 地址: 瞿溪路477号, 省市: 上海市, 上海市
店名: 佛罗伦萨, 地址: 浦东新区卓耀路58弄, 省市: 上海市, 上海市
店名: 同乐, 地址: 洞泾镇同乐路399号6幢号一层1F05-07号, 省市: 上海市, 上海市
店名: 高东, 地址: 高东镇杨园新村街道12/4丘, 省市: 上海市, 上海市
店名: 航头, 地址: 沪南公路5588-5592号101商铺, 省市: 上海市, 上海市
店名: 新南方商城, 地址: 沪闵路7388号1楼, 省市: 上海市, 上海市
店名: 活动测试餐厅, 地址: 古美路57号, 省市: 上海市, 上海市
店名: 永辉精选, 地址: 广富林路658弄666号松江万达广场B1层永辉超市, 省市: 上海市, 上海市
店名: 都市, 地址: 都市路3759号, 省市: 上海市, 上海市
店名: 浦东机场T1出发, 地址: 浦东国际机场T1出发国际公众区南端集中餐饮区域1, 省市: 上海市, 上海市
店名: 芮欧, 地址: 南京西路1601号越洋广场商场B2层芮欧美食广场1号商铺, 省市: 上海市, 上海市
店名: 隆昌, 地址: 隆昌路586号101商铺, 省市: 上海市, 上海市
店名: 新龙阳, 地址: 龙阳路2000号1-2层A-1铺, 省市: 上海市, 上海市
店名: 顾村公园, 地址: 陆翔路111弄正大乐城104-105号, 省市: 上海市, 上海市
店名: 宝龙, 地址: 航南公路5639号1F042、043号，2F021a、030号, 省市: 上海市, 上海市
店名: 大宁国际广场, 地址: 共和新路1898号110、111、113-2、118室, 省市: 上海市, 上海市
店名: 中远, 地址: 远景路616号一层107、108号商铺、二层209号商铺（轻轨中潭路站）, 省市: 上海市, 上海市
店名: 国展, 地址: 盈港东路158号国家会展中心（上海）之商业广场一层D-L114号、二层D-L220号, 省市: 上海市, 上海市
店名: 申月, 地址: 闵行区江月路1850弄1-6号浦江城市生活广场1层1F-D03号, 省市: 上海市, 上海市
店名: 北蔡, 地址: 北中路183号1层, 省市: 上海市, 上海市
店名: 同心, 地址: 同心路1号（华联吉买盛内）, 省市: 上海市, 上海市
店名: 新市, 地址: 新北路1422号, 省市: 上海市, 上海市
店名: 东华, 地址: 四川北路848号, 省市: 上海市, 上海市
店名: 花园, 地址: 西江湾路388号地下二层, 省市: 上海市, 上海市
店名: 杨树浦, 地址: 杨树浦路45号, 省市: 上海市, 上海市
店名: 莘漕, 地址: 漕宝路1574号一楼1021号, 省市: 上海市, 上海市
店名: 红松, 地址: 红松路101号, 省市: 上海市, 上海市
店名: 杨行, 地址: 水产路2449号一层114商铺, 省市: 上海市, 上海市
店名: 潍坊, 地址: 崂山东路585号, 省市: 上海市, 上海市
店名: 八佰伴, 地址: 张杨路501号二层, 省市: 上海市, 上海市
店名: 虹桥机场, 地址: 虹桥路2550号, 省市: 上海市, 上海市
店名: 百乐, 地址: 北京西路1829号, 省市: 上海市, 上海市
店名: 管弄, 地址: 管弄路290号, 省市: 上海市, 上海市
店名: 新曹杨, 地址: 曹杨路648号, 省市: 上海市, 上海市
店名: 江桥, 地址: 华江路25号, 省市: 上海市, 上海市
店名: 南翔大润发, 地址: 沪宜公路1030弄1号一层1001号商铺, 省市: 上海市, 上海市
店名: 灵山, 地址: 灵山路1785号, 省市: 上海市, 上海市
店名: 蓝村路, 地址: 东方路1367号富都广场一层铺位号L1-6A, 省市: 上海市, 上海市
