店名: 尹山湖爱琴海, 地址: 号为3109-3110号吴中区经济开发区清禾路888号尹山湖商业水街负一层铺位号为B1029号、一层铺位, 省市: 江苏省, 苏州市
店名: 新区金鹰, 地址: 狮山路298号金鹰国际广场一楼TEL-68123071, 省市: 江苏省, 苏州市
店名: 虞山外卖点, 地址: 常熟市虞山公园七孔桥旁, 省市: 江苏省, 苏州市
店名: 阳澄湖服务区, 地址: 沪宁高速阳澄湖服务区肯德基, 省市: 江苏省, 苏州市
店名: 吴江万象汇, 地址: 开平路2299号吴江万象汇商业中心三楼L325号商铺, 省市: 江苏省, 苏州市
店名: 邻瑞广场甜品站, 地址: 工业园区西华林街88号金鸡湖邻里中心负一层铺位号KB110, 省市: 江苏省, 苏州市
店名: 张家港金丰, 地址: 金港镇镇山路59号(金丰商业广场)一层, 省市: 江苏省, 苏州市
店名: 苏州北站餐厅, 地址: 铁路苏州北站站外商业街区SZB-B1-02铺位, 省市: 江苏省, 苏州市
店名: 常熟永旺餐厅, 地址: 65号高新技术产业开发区东南大道168号永旺梦乐城常熟购物中心一层商铺164-1, 省市: 江苏省, 苏州市
店名: 吴江明珠城, 地址: 江陵西路1688号一层、二层, 省市: 江苏省, 苏州市
店名: 常熟古里餐厅, 地址: 古里镇金湖路9号复兴大厦1幢101, 省市: 江苏省, 苏州市
店名: 吴江万象汇甜品站, 地址: 开平路2299号吴江万象汇商业中心三层L349号商铺, 省市: 江苏省, 苏州市
店名: 苏州星光耀, 地址: 虎池路1583号1楼, 省市: 江苏省, 苏州市
店名: 常熟永旺甜品站, 地址: 号高新技术产业开发区东南大道168号永旺梦乐城常熟购物中心二层商铺253-3, 省市: 江苏省, 苏州市
店名: 拙政园, 地址: 姑苏区东北街168号A组4室、5室, 省市: 江苏省, 苏州市
店名: 昆山世茂广场甜品站, 地址: 开发区前进东路199号昆山世茂广场三楼D0L3S09号商铺, 省市: 江苏省, 苏州市
店名: 石湖金陵广场, 地址: 吴中经济开发区越溪街道南溪江路88号, 省市: 江苏省, 苏州市
店名: 苏雅甜品站, 地址: 吴中区工业园区苏雅路388号新天翔商业广场裙楼内天虹百货二层铺位A2001-2, 省市: 江苏省, 苏州市
店名: 甪直维乐城, 地址: 吴中区甪直镇陶浜路399号南山维乐邻里生活广场一层铺位号101, 省市: 江苏省, 苏州市
店名: 张家港乐余, 地址: 乐余镇乐余老街东侧乐悦广场11幢M105一、二层, 省市: 江苏省, 苏州市
店名: 花桥宜客莱, 地址: 花桥镇西环路23号一层、花桥镇西环路11号二层, 省市: 江苏省, 苏州市
店名: 园区永旺, 地址: 园区永旺梦乐城肯德基（电话65576195）, 省市: 江苏省, 苏州市
